#name	#organism
Chlamydomonas reinhardtii	cre
Volvox carteri	vca
Physcomitrella patens	ppt
Marchantia polymorpha	mpo
Selaginella moellendorffii	smo
Amborella trichopoda	atr
Daucus carota	dca
Solanum lycopersicum	sly
Solanum tuberosum	stu
Vitis vinifera	vvi
Fragaria vesca	fve
Glycine max	gma
Malus domestica	mdm
Medicago truncatula	mtr
Phaseolus vulgaris	pvu
Prunus persica	ppe
Linum usitatissimum	lus
Manihot esculenta	mes
Populus trichocarpa	ptc
Ricinus communis	rco
Carica papaya	cpa
Theobroma cacao	tcc
Arabidopsis lyrata	aly
Arabidopsis thaliana	ath
Capsella rubella	cru
Eutrema salsugineum	esa
Brassica oleracea	bol
Brassica rapa	bra
Gossypium raimondii	gra
Citrus clementina	ccl
Citrus sinensis	csi
Musa acuminata	mac
Spirodela polyrhiza	spo
Zostera marina	zma
Hordeum vulgare	hvu
Oryza sativa	osa
Triticum aestivum	tae
Brachypodium distachyon	bdi
Panicum hallii	pha
Panicum virgatum	pvi
Setaria italica	sit
Sorghum bicolor	sbi
Zea mays	zma
